home_team,away_team,home_odds,draw_odds,away_odds,date,rating_diff
Arsenal,Leeds,1.27,7.0,14.0,2023-04-01,431.62810060383305
Man City,Liverpool,1.69,4.3,5.4,2023-04-01,217.40181617359485
Crystal Palace,Leicester,2.36,3.55,3.35,2023-04-01,63.09478653507377
Chelsea,Aston Villa,1.64,4.4,6.2,2023-04-01,239.99215376804523
Brighton,Brentford,1.61,4.5,6.4,2023-04-01,250.473794083176
Newcastle,Man Utd,2.4,3.7,3.2,2023-04-02,53.18659745463646
West Ham,Southampton,1.81,3.85,5.4,2023-04-02,188.73620142933433
Everton,Tottenham,4.1,3.65,2.08,2023-04-03,-120.00290188658543
Bournemouth,Brighton,6.2,4.6,1.61,2023-04-04,-249.44664633961318
Leeds,Nottm Forest,1.74,4.1,5.5,2023-04-04,206.22361510545403
Leicester,Aston Villa,2.8,3.7,2.76,2023-04-04,-2.6334029735762154
Chelsea,Liverpool,2.26,3.45,3.65,2023-04-04,84.04044149866743
Man Utd,Brentford,1.67,4.3,5.9,2023-04-05,228.52485115889218
West Ham,Newcastle,3.55,3.4,2.38,2023-04-05,-68.42257802105749
Leicester,Bournemouth,2.14,3.55,4.0,2023-04-08,109.0606185530261
Tottenham,Brighton,2.98,3.6,2.58,2023-04-08,-26.334773281447486
Fulham,West Ham,2.94,3.35,2.72,2023-04-08,-13.590604484273326
Southampton,Man City,15.0,6.8,1.26,2023-04-08,-436.9450194809902
Wolves,Chelsea,5.2,3.9,1.81,2023-04-08,-186.22980480294936
Brentford,Newcastle,4.3,3.7,1.94,2023-04-08,-145.06914702386896
Aston Villa,Nottm Forest,1.61,4.3,6.6,2023-04-08,250.1304840341396
Man Utd,Everton,1.63,4.4,6.4,2023-04-08,244.47987264856
Leeds,Crystal Palace,2.12,3.55,4.0,2023-04-09,111.4723811597973
Liverpool,Arsenal,2.84,3.85,2.56,2023-04-09,-19.98001512459213
Tottenham,Bournemouth,1.51,4.8,7.6,2023-04-15,291.1536683609236
Aston Villa,Newcastle,3.65,3.55,2.24,2023-04-15,-86.75594388460348
Southampton,Crystal Palace,2.92,3.25,2.82,2023-04-15,-5.926224827390054
Everton,Fulham,2.34,3.4,3.7,2023-04-15,77.45240351483538
Wolves,Brentford,2.94,3.3,2.76,2023-04-15,-10.892024024757365
Chelsea,Brighton,3.3,3.45,2.46,2023-04-15,-51.50479031734238
Man City,Leicester,1.15,11.0,23.0,2023-04-15,550.8014469055001
Nottm Forest,Man Utd,5.1,4.3,1.74,2023-04-16,-202.12986122606347
West Ham,Arsenal,6.2,4.6,1.58,2023-04-16,-257.1141718908151
Leeds,Liverpool,4.8,4.7,1.73,2023-04-17,-202.43289495712844
Arsenal,Southampton,1.5,5.0,13.0,2023-04-21,318.34130535087144
Leicester,Wolves,2.5,3.5,3.2,2023-04-22,43.7719952581022
Crystal Palace,Everton,2.0,3.5,4.7,2023-04-22,143.14825269720782
Liverpool,Nottm Forest,1.19,9.6,20.0,2023-04-22,508.59974945330765
Brentford,Aston Villa,2.8,3.45,2.88,2023-04-22,4.930160305281558
Newcastle,Tottenham,1.95,3.85,4.4,2023-04-23,147.25455114850044
Bournemouth,West Ham,3.15,3.4,2.58,2023-04-23,-34.72914657596908
Leeds,Leicester,2.44,3.8,3.05,2023-04-25,42.28530156929102
Wolves,Crystal Palace,2.38,3.15,3.9,2023-04-25,78.48960035933771
Aston Villa,Fulham,1.8,4.0,5.1,2023-04-25,187.47768867728215
Chelsea,Brentford,1.91,3.65,4.9,2023-04-26,161.69660982621812
West Ham,Liverpool,3.75,3.95,2.08,2023-04-26,-111.63954066188533
Nottm Forest,Brighton,5.9,4.4,1.65,2023-04-26,-234.18985808965465
Man City,Arsenal,1.67,4.5,5.7,2023-04-26,228.10969387014464
Everton,Newcastle,4.7,3.9,1.88,2023-04-27,-165.2236099534002
Southampton,Bournemouth,2.66,3.35,3.05,2023-04-27,23.705262948204027
Tottenham,Man Utd,2.96,4.0,2.42,2023-04-27,-39.58916364935625
Brentford,Nottm Forest,1.78,4.0,5.2,2023-04-29,192.84507683499152
Crystal Palace,West Ham,2.5,3.45,3.2,2023-04-29,43.616641564083466
Brighton,Wolves,1.64,4.6,6.2,2023-04-29,242.13147684609166
Newcastle,Southampton,1.27,7.0,14.5,2023-04-30,432.6227910292674
Man Utd,Aston Villa,1.82,4.2,4.8,2023-04-30,180.3899270053927
Bournemouth,Leeds,2.54,3.55,3.1,2023-04-30,35.76542956594418
Fulham,Man City,14.0,6.8,1.28,2023-04-30,-424.6512823750518
Liverpool,Tottenham,1.57,5.2,5.7,2023-04-30,259.74205800975517
Leicester,Everton,2.06,3.65,4.1,2023-05-01,122.60011588102888
